content
和北京卫视一样，堂堂中国最繁华的两个城市的跨年晚会被做的最低俗和毫无审美
李健 朱一龙 肖战 周深 王凯
番茄台捧流量脚的样子真丢脸
怎么会有这样丑的男人，我本来以为他只是一般丑，结果发现，原来，这么丑
肖战演技真的太差了、建议便商别用他了
印象最深的两处，1.朱一龙真的是又正又乖又踏实；2.那英，你尬场多久啊？
31号那天四个台(湖南，江苏，东方，浙江)轮换着看的，江苏的最好看，还是真唱，在湖南台看杨幂腾格尔的野狼disco，尬的一批，还还好有新裤子的你要跳舞吗，东方台请了一堆流量，low的一笔。浙江台看的程潇，而且请不到人，请李玉刚凤凰传奇。。
和拢龙的第二个跨年
朱一龙太可了！！我这是爱了一个什么神仙！！
难看
朱一龙《追梦人》，5天了，我仍一张口就是追梦人😂
我丈夫被xz迷得不行了
龙哥真的棒
来进行20年的第一个标注，毕竟等嘎子和大龙出场，从19年等到了20年…… 虽然节目并没看全，但感觉质量还是很好的。不论是主持团队还是演唱嘉宾，实力还是很强的。即使是爆红流量，不带粉丝滤镜，歌声也还是不错的。 望眼欲穿的嘎子和大龙，音乐剧的串场实在炸裂，站在舞台上唱音乐剧，就是世界之王的自在与气势，就是太短了太短了太短了……
神奇。
可以感受得到诚意到了请的全是腕儿，论起来这幅好牌应该打的响了。有优点但是缺点也蛮多：基本毁在了场控、灯光、收音上。我很想问问红日唱完又唱了野狼还是红日版的这么不走心的安排是谁想出来？是谁通过的…那么多唱的好的都毁在了收音，求求你们下次对这些走点心吧尊重下艺人卖力的演出好吗？
为肖战而看，从来没有如此喜欢过一个明星。张艺兴、张信哲、梁静茹、李健、王凯也都很赞。
油管刷完了陈情令又给我推这个，一看好多91、92的啊。我好老啊，再过几年都是00后在台上了，赶紧2倍速+跳水完。
看的时候就感觉肖战的节目又多又臭又长，整体的规划也没做好，太乱了
跨年一星
朱一龙 《追梦人》云² ~~不退让~~
四舍五入等于和战哥一起跨年了
李健唱的不错
张信哲真行走的唱片机。朱一龙的《追梦人》和《火车驶向云外》两种不同风格演绎得都很好，非常惊喜！
现场见到朱一龙，听到追梦人，挥舞灯牌，尖叫欢呼，已是最棒的跨年了！何况还有勤深深阿哲云次方李健毛不易。
邓伦见偶像是不是激动死了呢
韩商言竟然可以这么软萌地唱歌！他唱牛奶面包的时候真的全程姨母笑，看镜头的那个眼神awsl，亲爱的热爱的能不能拍第二部啊想看韩商言带孩子
顶流不少，如肖战，李现，朱一龙，热巴，张艺兴；实力唱将也有，如李健，那英，陈慧娴，李克勤，张信哲，梁静茹；阿云嘎和郑云龙的表现不错，周深也可以关注一下，高科技无人机也算一个亮点，嗯，也就这样。
今年和家人一起看，我是为了朱一龙，不过家人看东方卫视跨年非常满意，朱一龙『追梦人』特别好听之外，陈慧娴和李克勤他们最喜欢，草蜢可惜和别人组合，不然他们更喜欢。
朱一龙刺猬的火车真是名场面了。
來看李克勤✘周深。
191231《梦不落雨林+霸王别姬》 霸霸真的太惊艳了
看了现场，集齐了4大神兽。肖战、李现、张艺兴、朱一龙。现在传统媒体都向流量低头了吗？歌唱的一般，舞跳的一般，反正什么都一般，除了颜...果然现代社会女性崛起了啊，为了满足广大女性的口味也是拼了。
没啥亮眼节目，最大感想是上海人一定很喜欢90年代粤语歌，感觉有1/4篇幅给了陈慧娴草蜢他们，加起来有十几首歌，还有1/4是流量男星李现肖战什么的，朱一龙抱个吉他站在刺猬里面看着气焰熄了一半，有点手足无措；李健发挥一般，总算是听了回完整版的庆余年片头曲；第三次在跨年看到《野狼Disco》，果然年度热曲，不过周深来唱……感觉进迪厅会被人欺负。
感谢东方，肖战真棒
李现和机器人的互动好蠢萌，简直是韩商言本言。我们荆州之光戏演得好，唱歌也好听，在线发糖太宠溺了，感谢东方拉我入坑，粉上李现不亏！
小鲜肉是一个都不认识，呼声那么高的艺人，我确实🤷‍♂️我一定是老了。不过年纪大了点的那几个主持人，我倒是印象深刻。
除了场子一般，其他都在往年之上，卫视中算很好的了
朱一龙真的让我很惊喜，深情款款，激荡澎湃，不同的感觉，一样的惊喜
健哥战哥云次方！
意外收获了左手指月这首歌。不过为什么这首歌没火矫情做作的不染却火了…… 王祖蓝和他老婆看起来好恩爱的！ 今年的新年倒数怎么看起来好简陋……
感觉演员比歌手多，喜欢勤深深。
论流量，也能跟湖南叫板了，论歌手，没江苏多但也不少了，怎么总体效果就没有一点 一线开放大都市的华丽时尚气质呢？办跨年不是凑明星就完事儿了，还是要有自己的特色。
比湖南的好点
太会选人了东方卫视/颜控太满足了/朱一龙+刺猬真的飒/肖战三首歌真的太🉑️了尤其是《神奇》唱跳太惊喜了
朱一龙的《追梦人》很有感觉，情感很投入。和刺猬乐队合作的《火车驶向云外》则让我们看到了有点野，自信张扬的一面。敢连着唱反差这么大的两首歌曲，朱一龙真的虎👍
王祖蓝的节目真的尴尬，朱一龙的贝斯大概是唯一的惊喜，周深emmmm的光芒被掩盖，我等到12点，云次方就给我唱这个？说好的马戏之王呢，就来了个前奏。
肖战 朱一龙
舞台不行
朱一龙的表现让人惊艳！！！
事实证明，流量扎堆也不如隔壁江苏真唱，压轴的什么玩意，那英是吃了shi吗？要这样捧人？
虽然有些low，但是看出心意了，热巴的表演好跨
还行
最喜欢阿云嘎、郑云龙的《为乐而生》！！现在放在平台上回看的晚会视频，被反反复复剪辑了好多遍，一些观众发的弹幕和表演画面是完全对不上的，然后云次方的表演位置原来是后面一个很烂的节目《左手指月》，现在弹幕大多是在怪声怪气骂《左手指月》那个女歌手的，不知情的还以为是在说大龙他们的表演，囧。
小鬼 周深 李健
为了两只熬到零点后
gg一曲神奇啊！
为了看肖战 2020年加油鸭！
李现 李健 朱一龙 李克勤 周深深
跨年标记！
陈慧娴，草蜢，梁静茹
嘉宾阵容不错，但是整个舞美设计太一般了，没有其他台的舞美和舞台设计好，还有对于今年那英和毛阿敏合唱的曲目感到非常失望，本来这个组合可以擦出更大的火花和惊喜，但是这次合唱的歌曲都不好听、、、、整个晚会没有什么惊喜，一般般。
太现代感的节目欣赏不了，昨天晚上开场父上就调台了。但是中间的抒情歌还不错，今天中午吃饭时大家一起看的(畅聊八卦，涉及盲区)
2020.1.6 我还在循环去年的追梦人😃
阿哲熟悉的旋律唱起就瞬间把我拉回20年前听他唱歌的那个我/ 2020年听云次方开头，今年一年都会开开心心哒～o(^▽^)o
野蛮生长太洗脑了吧
搞声女孩圆梦
东方卫视场地一直是硬伤，特效也一言难尽，不过好在往年跨年最牛的江苏卫视今年也没做好。了，果然我永远躲不过怀旧杀，了。开场加零点压轴东方彻底给足了面子，我们家肖战自己也争气，表现很好。
吹爆周深！深深！看周深姨母笑就没停过 噢吼吼吼~~~ 还有不得不说的是张艺兴霸气侧漏 太A了天哪 我不是他粉但是 啊啊啊！！游刃有余掌控全场收放自如 舞台才是展现他最好的地方！别去演戏了 看你在舞台上就够了！
肖战太可以了！真的帅！也不错～比湖南强20200123@ YC
喜欢东方台，朱一龙肖战李现都在，真好
优酷在线，快手冠名，总体还不错，预热的挺久的，31号之前就已经在pk选人搞嘘头了，张信哲真的年纪大了，看着跟以前比真的不一样了。
还不够靓眼啊
勤深深组合太好听啦，也喜欢李健，那英，云次方……燃点很多呀
朱一龙的追梦人我已经颅内循环好多天啦
青春无悔不死～永远的爱人。 一代人终将老去～但总有人正年轻！！ 朱一龙真棒。
好几天了还在回味朱一龙的《追梦人》唱的好好听
四大台最佳，经典老歌诚意满满。
乱。但是周深李克勤，阿云嘎郑云龙啊啊啊啊啊太稳了。
主持人的配合是真的差……
真唱～👏
整体风格太散，没有应有的腔调。分组对抗没什么意思，就让大家好好听歌不就行了吗。
最初的目的当然是为了看肖战，但他也只是在最初和最末出来过，印象最深的是在零点倒计时他的笑容，纯真美好，希望他在2020年里也能保持这样的笑容继续下去，给粉丝们带来好的作品。中间部分的演唱我个人最喜欢的是勤深深组合，李克勤的现场永远这么稳，周深的声音我曾经总把他当做女孩，现在一听就知道这是周深，独一无二的存在。整个跨年不足的是灯牌过于混乱，说实话在这种众星云集的场合太过突出了对明星来说也不太好，还是湖南卫视规定得对。
有喜欢的歌手，但还是喜欢江苏卫视的
非常精彩的一场晚会，朱一龙给了我好大的一个惊喜《追梦人》和刺猬乐队合唱的《火车驶向云外》太惊艳了！！没想到他演技好，唱功也不错，果真是宝藏男孩。
很精彩，毛阿敏，梁静茹，李克勤，朱一龙，喜欢他们的歌。
gg的神奇 又被卡点糖齁到了🍬
专门来看健哥的演唱，一如既往的稳，还唱了庆余年的主题曲。有个女主持人太SB了。毛阿敏和那英合唱了一堆八十年代老掉牙歌曲，感觉穿越了。
印象最深：李健情歌4连唱
for xz
不错啊，还请了阿哲、陈慧娴、刺猬，很开心
表白朱一龙的追梦人
这是怀旧金曲跨年啊...浓浓港台风
烂番茄，黑名单拜拜了您
第一次熬夜看晚会，精彩
东方卫视只能算凑活，好于湖南，差于江苏
给朱一龙打五星，给东方卫视差评
2019终于离我们远去，有的人留在了过去，有的事变成了记忆。今晚边看东方卫视的跨年边感慨。张信哲的几首老歌颇具年代感，陈慧娴的千千阙歌更是让记忆复苏。最让我感动的是朱一龙，谁能想到这样一个温柔的人会在舞台上选择摇滚呢？他真的是一个敢于挑战的人，希望他2020顺顺利利。豆友们，也祝你们快乐。
看明星就够了
抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ抵制XZ
舞台还是很炫目的
陈慧娴和那英唱的太久了吧
《追梦人》居唱的好深情，有点上头。《贝加尔湖畔》健哥一如既往的带仙气儿，《传奇》是撩妹现场吗，《一切刚刚好》第一次听，《一念一生》音乐一起就是鸡皮疙瘩啊。
弄个好混响吧！
🎊追梦2020🎉
喜欢朱一龙，云次方。
肖战、李健❤️
额（︶︿︶），不知道该说些什么
感觉不咋滴
今年的节目还不错
我永远爱李憨憨
节目比湖南台好点，但是呢，收音实在太烂了，好好的节目全毁了
盖章
恭喜东方卫视第一个上了我的2020死亡名单（围笑脸）。配不上云次方的好表演。
老得不爱看，新得不认识，有点尴尬
5星给肖战
跨年标记，两台切换的真的好累哈~
很不错 圆满的跨年
抱走拢龙
想看的男人都在这一台晚会了，李健，朱一龙，李现，肖战哈哈
舞台效果不错！好多大腕，喜欢陈慧娴的歌，这么多年了，唱出来还是那么动听。朱一龙的两种风格转换，太棒了，摇滚感觉好棒！
朱一龙周深阿云嘎毛不易 我很圆满
追梦人朱一龙，深情款款。摇滚朱一龙，狂野率性！
热巴的妆容有点雷人，但我很喜欢她的小奶音！敢于挑战自我，这分给的值得!
差评！
在公司盯着数据大屏过了跨年夜
阵容一看挺好的，播出80%的人都唱翻车了，顺序莫名其妙，最后连音响都车祸，毫无混响让人清唱，服了
忘了。
本身东方的大型晚会还是欠缺经验的，但是请来了经典的实力歌手，让我回到青春年代，另外朱一龙让我很惊喜，一静一动，很不错！
没想到东方镜头切换也太差了。
东方卫视的跨年好多流量明星，这次办的挺好的，感觉到了认真和精致。
迪丽热巴 😍
什么时候把音源放出来
也是请上自己卫视综艺的各种明星，所以肖战请到了...还能有朱一龙李现也不容易。那英毛阿敏的怀旧老歌真怀旧，尬聊也是很尬。勤深深组合唱歌很好听。离开上海10年了主持人还是这几个，什么时候才能有点新鲜血液...
因为有梁静茹，有周深，所以还不错👍
追梦人太好听。过了这么久还是脑内单曲循环停不下来。
只为看肖战！
朱一龙的《追梦人》和《火车使向云外》都非常棒！
肖战•神奇
冤有头债有主。不会正确的引导粉丝。这样的明星德不配位。一星送给肖战
笑如朗月静若处子波澜不惊，想把所有美好的词都给肖战，东方的舞台也蛮用心的，汉字拆分、烟雾缥缈，战战就是最美的少年！
三星都给朱一龙，朱一龙唱的好听
